,agent_signature,epochs_trained,knowledge_change,steps_taken,success
0,a0.001g0.999e0,5,0.0022405542596084893,100,False
1,a0.001g0.999e0,10,0.0022669879416232965,100,False
2,a0.001g0.999e0,15,0.0022859622371462734,100,False
3,a0.001g0.999e0,20,0.002297212893830621,100,False
4,a0.001g0.999e0,25,0.0023014877341068487,100,False
5,a0.001g0.999e0,30,0.002307334226565208,100,False
6,a0.001g0.999e0,35,0.0023096414848075624,100,False
7,a0.001g0.999e0,40,0.002272580000934872,100,False
8,a0.001g0.999e0,45,0.002327450112669905,100,False
9,a0.001g0.999e0,50,0.0023037798418730753,100,False
10,a0.001g0.999e0,55,0.002366734239874219,100,False
11,a0.001g0.999e0,60,0.002401043136111443,100,False
12,a0.001g0.999e0,65,0.0023804674082045247,100,False
13,a0.001g0.999e0,70,0.0022839997179659077,100,False
14,a0.001g0.999e0,75,0.002528159874354386,100,False
15,a0.001g0.999e0,80,0.0360706200446207,100,False
16,a0.001g0.999e0,85,0.022368322115787122,100,False
17,a0.001g0.999e0,90,0.028204801618254744,100,False
18,a0.001g0.999e0,95,0.03586833144819578,100,False
19,a0.001g0.999e0,100,0.029744696266535628,100,False
20,a0.001g0.999e0,105,0.02217388791330002,100,False
21,a0.001g0.999e0,110,0.03121151293732007,100,False
22,a0.001g0.999e0,115,0.01974986504011887,100,False
23,a0.001g0.999e0,120,0.027918070617009485,100,False
24,a0.001g0.999e0,125,0.027859011341392736,100,False
25,a0.001g0.999e0,130,0.009991626331307337,100,False
26,a0.001g0.999e0,135,0.009998554677858144,100,False
27,a0.001g0.999e0,140,0.02775843253860081,100,False
28,a0.001g0.999e0,145,0.01957265421731625,100,False
29,a0.001g0.999e0,150,0.02200547340328121,100,False
30,a0.001g0.999e0,155,0.029141915534444403,100,False
31,a0.001g0.999e0,160,0.00991137664284083,100,False
32,a0.001g0.999e0,165,0.01972216715738346,100,False
33,a0.001g0.999e0,170,0.019426271157139133,100,False
34,a0.001g0.999e0,175,0.03496884061674884,100,False
35,a0.001g0.999e0,180,0.01933695831039312,100,False
36,a0.001g0.999e0,185,0.01384683713932895,100,False
37,a0.001g0.999e0,190,0.013826209213263704,100,False
38,a0.001g0.999e0,195,0.02157669838675547,100,False
39,a0.001g0.999e0,200,0.021539867722837263,100,False
40,a0.001g0.999e0,205,0.019173319348355585,100,False
41,a0.001g0.999e0,210,0.013750941702303534,100,False
42,a0.001g0.999e0,215,0.01911610001740688,100,False
43,a0.001g0.999e0,220,0.01375081188408213,100,False
44,a0.001g0.999e0,225,0.019076840777781844,100,False
45,a0.001g0.999e0,230,0.027187709831831393,100,False
46,a0.001g0.999e0,235,0.021327648622896277,100,False
47,a0.001g0.999e0,240,0.021282245393211406,100,False
48,a0.001g0.999e0,245,0.028270902139595357,100,False
49,a0.001g0.999e0,250,0.01885763013449306,100,False
50,a0.001g0.999e0,255,0.01946278572504479,100,False
51,a0.001g0.999e0,260,0.028145361557851377,100,False
52,a0.001g0.999e0,265,0.01877511496702401,100,False
53,a0.001g0.999e0,270,0.02108995606567323,100,False
54,a0.001g0.999e0,275,0.009555574690601053,100,False
55,a0.001g0.999e0,280,0.013551334114183501,100,False
56,a0.001g0.999e0,285,0.04638191478465712,100,False
57,a0.001g0.999e0,290,0.013496082054555518,100,False
58,a0.001g0.999e0,295,0.01855370159580021,100,False
59,a0.001g0.999e0,300,0.009478747932343736,100,False
60,a0.001g0.999e0,305,0.036809141340100285,100,False
61,a0.001g0.999e0,310,0.01345270189342107,100,False
62,a0.001g0.999e0,315,0.02752224878970035,100,False
63,a0.001g0.999e0,320,0.020720344843466906,100,False
64,a0.001g0.999e0,325,0.027410477597966762,100,False
65,a0.001g0.999e0,330,0.045418313646911984,100,False
66,a0.001g0.999e0,335,0.018251905623087563,100,False
67,a0.001g0.999e0,340,0.009834584731622593,100,False
68,a0.001g0.999e0,345,0.027146102223123702,100,False
69,a0.001g0.999e0,350,0.028705523320749004,100,False
